area trstprl trstlgl trstplt trstep trstun euftf imueclt imwbcnt
E 0 5 5 8 8 9 5 7
E 0 5 0 5 5 10 10 10
E 0 1 0 1 10 6 6 4
E 8 7 6 8 8 5 5 4
E 3 0 3 3 5 10 10 5
E 0 2 3 5 7 8 7 5
E 5 5 5 8 8 9 5 4
E 2 4 2 7 7 10 5 6
E 5 4 3 4 6 8 2 8
E 0 0 0 1 5 0 3 0
E 0 3 0 1 1 2 1 1
E 3 7 4 8 8 6 5 5
E 0 1 0 5 8 7 6 3
E 5 5 5 7 7 1 1 0
E 4 3 3 0 5 7 6 7
E 0 5 0 1 5 8 8 8
E 4 4 2 8 8 10 10 7
E 0 0 0 6 6 10 10 10
E 5 8 5 10 10 10 10 10
E 3 0 0 4 4 10 8 8
E 1 1 1 10 5 10 10 10
E 2 2 2 5 5 10 5 3
E 4 4 4 10 10 10 8 3
E 1 3 1 4 4 7 9 9
E 2 2 2 4 4 8 7 7
E 4 4 4 10 10 10 4 4
E 2 2 2 4 4 10 9 9
E 2 2 1 4 4 7 3 3
E 2 2 2 5 5 10 1 1
E 2 2 2 10 10 10 10 10
E 4 4 1 10 10 10 10 10
E 1 1 0 7 7 6 10 10
E 3 3 3 7 10 10 10 10
E 1 1 1 5 10 10 10 10
E 0 0 0 10 10 10 10 10
E 1 1 1 10 10 10 8 8
E 1 1 1 7 7 7 10 10
E 1 1 1 2 2 5 3 5
E 3 0 0 4 5 6 7 7
E 3 2 2 5 6 6 7 7
E 3 3 2 4 4 6 6 7
E 3 3 3 3 3 6 7 7
E 2 3 2 4 4 7 5 5
E 3 2 1 3 5 6 7 4
E 2 2 2 2 3 6 6 5
E 3 3 3 3 3 5 3 4
E 5 5 5 6 6 6 5 6
E 1 3 0 6 5 7 8 7
E 1 2 1 5 5 7 7 7
E 0 0 0 5 7 4 6 3
E 0 5 0 5 5 7 7 8
E 0 0 0 4 5 7 8 9
E 0 3 0 5 5 7 9 9
E 5 5 4 6 5 7 5 7
E 0 0 0 0 0 6 5 7
E 4 2 3 5 5 5 7 7
E 2 0 2 6 10 6 5 5
E 0 0 0 9 9 6 2 2
E 3 3 3 5 5 6 7 7
E 2 2 2 5 5 7 6 7
E 4 4 4 6 6 7 7 6
E 3 4 3 5 5 6 6 6
E 3 3 3 4 5 6 7 7
E 2 4 2 3 4 7 7 7
E 3 3 3 7 7 7 7 7
E 5 8 5 10 10 5 5 5
E 8 9 8 9 5 5 5 5
E 0 0 0 5 8 7 7 5
E 6 4 4 7 5 5 5 5
E 1 1 0 6 5 5 4 5
E 10 4 10 10 5 7 4 4
E 2 0 2 3 6 5 5 5
E 4 3 3 5 8 6 5 5
E 4 1 3 5 6 3 3 3
E 0 2 2 3 7 6 9 10
E 0 0 0 5 9 0 0 2
E 0 0 0 3 0 10 5 5
E 4 3 2 4 4 7 3 4
E 1 6 0 5 6 7 7 7
E 4 9 4 10 10 10 10 10
E 0 0 0 5 5 10 10 10
E 0 8 4 5 6 4 8 8
E 0 2 1 0 6 1 1 1
E 8 3 3 5 5 3 3 3
E 0 10 0 1 1 0 10 10
E 0 2 0 0 0 4 5 5
E 1 6 1 5 10 10 5 5
E 1 1 1 3 9 9 9 7
E 0 0 0 3 0 9 2 1
E 1 1 1 1 1 9 4 7
E 0 0 0 5 5 9 9 5
E 1 1 1 5 3 9 4 3
E 1 1 1 4 1 9 1 5
E 1 2 0 4 2 9 9 7
E 0 0 0 0 0 8 4 5
E 0 5 0 5 4 9 4 5
E 4 4 4 4 4 9 1 9
E 3 3 4 5 5 8 9 8
E 0 0 0 8 1 10 4 2
E 0 0 0 0 1 4 3 1
E 0 0 0 0 0 5 8 8
E 0 0 0 2 3 5 7 7
E 0 0 0 1 2 5 7 7
E 0 1 0 1 1 6 4 6
E 1 1 1 1 1 5 8 7
E 0 0 0 0 0 5 8 6
E 0 0 0 0 0 6 6 6
E 0 1 0 2 2 5 9 7
E 0 0 0 6 3 4 10 10
E 4 5 5 10 8 5 9 7
E 0 0 0 0 0 8 7 9
E 0 0 0 0 0 5 5 5
E 0 0 0 0 0 8 2 5
E 10 8 10 10 8 10 10 10
E 1 1 1 6 9 9 10 10
E 0 1 0 1 10 8 8 10
E 0 0 0 5 5 7 7 7
E 3 2 2 7 8 7 5 5
E 3 1 2 3 4 7 8 5
E 3 2 2 6 8 7 4 8
E 0 0 0 5 10 9 2 6
E 3 3 1 1 3 1 9 7
E 1 2 1 4 2 2 5 5
E 1 1 1 8 8 7 6 7
E 6 4 4 4 7 8 5 5
E 3 3 3 3 4 4 6 2
E 3 4 4 7 7 4 4 4
E 1 3 2 6 5 5 3 5
E 1 2 0 5 4 3 1 2
E 0 7 0 9 9 1 3 1
E 0 0 0 10 10 1 1 0
E 0 10 0 10 10 10 8 8
E 0 0 0 3 0 10 0 1
E 0 0 0 5 10 5 0 0
E 2 0 0 5 5 8 1 2
E 0 0 0 4 5 6 1 2
E 3 5 6 6 6 8 5 5
E 5 5 6 8 8 10 10 10
E 5 5 6 9 8 10 6 6
E 4 4 5 8 8 8 8 5
E 5 6 2 7 7 7 5 5
E 3 3 4 8 8 10 3 1
E 0 0 0 0 0 10 5 4
E 4 4 4 10 10 10 2 3
E 5 4 3 8 9 8 5 5
E 0 0 0 3 7 7 6 7
E 9 1 1 1 1 9 1 1
E 9 5 1 3 4 6 9 9
E 1 1 1 5 5 6 7 6
E 1 1 0 8 8 8 3 3
E 1 0 0 8 8 8 5 3
E 9 9 9 10 8 4 9 10
E 4 8 4 7 6 6 7 8
E 1 4 1 3 4 6 6 7
E 1 2 0 4 4 7 7 6
E 1 4 1 2 3 8 9 9
E 2 2 0 3 3 10 7 5
E 1 4 0 2 4 7 8 8
E 1 4 1 3 3 7 8 9
E 5 1 3 10 9 1 10 7
E 2 2 2 8 8 10 9 9
E 5 1 0 8 8 8 5 5
E 2 1 1 6 6 5 4 4
E 5 2 0 0 3 10 9 9
E 6 6 4 6 8 9 6 7
E 1 1 1 1 1 9 9 5
E 1 0 0 8 4 10 10 10
E 1 1 1 1 1 10 1 2
E 0 0 0 10 10 7 10 8
E 5 5 5 5 8 5 5 5
E 2 2 2 8 9 3 5 5
E 1 2 5 9 5 9 6 8
E 0 5 7 9 10 3 3 2
E 0 0 0 4 4 10 0 3
E 4 10 4 7 8 5 6 6
E 0 0 0 8 8 7 5 7
E 0 0 0 6 4 7 5 7
E 0 0 0 0 0 8 3 5
E 0 0 0 5 5 10 10 5
E 5 6 5 9 9 8 9 9
E 5 3 3 10 5 10 3 6
E 1 3 2 5 5 8 7 7
E 2 4 2 7 7 8 5 6
E 0 3 2 5 5 7 6 6
E 3 5 6 8 8 8 8 8
E 5 3 5 8 7 7 9 8
E 3 2 3 6 6 7 8 8
E 7 3 5 8 8 8 8 8
E 6 4 5 7 7 9 8 8
E 1 3 3 7 5 5 6 7
E 3 7 5 10 8 10 7 8
E 1 1 0 7 7 10 7 8
E 0 4 5 6 8 6 7 6
E 2 4 4 5 5 7 3 6
E 2 2 1 6 5 7 7 7
E 1 2 1 6 8 2 7 6
E 1 1 1 4 4 0 0 0
E 0 0 0 4 4 6 5 6
E 6 4 5 6 7 6 6 7
E 5 7 4 5 8 0 2 1
E 0 0 0 3 3 9 5 7
E 1 3 2 8 5 9 5 5
E 3 3 1 6 6 10 7 5
E 5 5 3 9 10 7 8 5
E 3 2 2 6 9 10 8 7
E 2 2 1 5 5 10 7 5
E 0 0 1 7 4 10 7 6
E 5 5 5 8 9 10 8 6
E 0 1 1 10 10 10 7 6
E 2 5 1 5 5 7 7 5
E 3 4 3 6 7 7 4 4
E 2 0 1 10 10 10 10 6
E 5 7 2 5 5 10 3 5
E 2 2 0 10 10 10 9 6
E 0 1 2 10 7 10 10 8
E 0 0 1 9 9 10 9 8
E 0 0 0 5 3 3 3 5
E 2 2 3 7 5 8 5 5
E 0 0 0 1 1 3 5 4
E 3 3 2 3 3 9 6 5
E 0 8 4 7 8 10 6 5
E 1 3 1 3 9 3 10 9
E 1 1 1 4 5 10 4 5
E 5 5 5 5 5 5 5 5
E 1 1 0 5 5 5 5 5
E 1 1 0 5 5 6 3 3
E 1 1 1 9 9 10 7 8
E 5 0 0 8 8 9 6 5
E 1 1 1 5 5 5 3 4
E 1 2 1 5 6 4 2 3
E 1 3 1 5 5 5 2 4
E 0 0 1 5 5 10 10 10
E 1 0 2 9 9 6 6 6
E 0 1 1 1 2 3 2 3
E 1 1 1 6 6 9 5 5
E 0 0 0 10 10 10 0 0
E 0 5 1 5 5 10 5 5
E 0 0 0 0 5 5 5 5
E 0 1 0 4 4 4 6 6
E 2 2 2 3 3 5 5 5
E 5 5 5 5 5 5 5 5
E 5 5 5 5 5 7 5 5
E 1 1 1 4 4 5 5 5
E 3 3 3 5 5 5 6 6
E 5 5 5 5 5 5 5 5
E 5 5 5 5 5 10 5 5
E 0 0 0 0 2 1 9 9
E 3 5 3 6 6 10 5 5
E 0 0 0 5 5 10 5 5
E 5 5 5 5 5 10 5 5
E 2 5 2 5 5 10 5 5
E 1 1 1 8 7 6 5 6
E 3 3 2 5 4 8 5 5
E 4 3 4 5 5 8 3 1
E 3 3 3 5 5 9 5 5
E 0 0 0 8 9 9 7 7
E 1 1 3 9 9 6 6 7
E 1 2 2 8 8 8 6 6
E 0 2 0 5 1 10 9 9
E 2 2 1 9 9 10 8 7
E 3 3 3 5 5 5 1 1
E 2 0 2 0 3 5 3 5
E 0 0 1 0 2 9 5 7
E 4 2 2 8 8 9 6 6
E 2 0 0 5 5 5 2 1
E 2 4 2 8 8 5 9 9
E 0 0 0 5 5 9 7 5
E 4 0 0 4 10 10 5 5
E 0 0 0 5 5 10 7 6
E 0 0 0 5 5 10 10 10
E 0 0 0 0 0 10 0 0
E 0 0 0 10 10 10 5 5
E 0 0 1 2 2 7 5 5
E 1 1 1 6 7 8 8 7
E 0 0 0 6 9 8 8 5
E 2 5 2 8 8 7 8 7
E 6 6 5 8 8 7 6 5
E 0 3 0 1 0 8 3 4
E 0 0 0 0 0 10 7 7
E 0 4 0 5 8 3 10 8
E 2 2 3 6 6 6 4 4
E 2 8 3 9 6 10 5 5
E 3 4 1 5 9 10 7 7
E 0 0 0 2 0 1 10 10
E 5 2 5 7 7 5 8 6
E 2 0 1 7 7 7 0 0
E 0 0 0 0 0 7 6 5
E 0 0 0 5 0 7 0 0
E 0 0 0 8 9 5 8 9
E 8 9 2 8 8 3 1 1
E 0 0 5 8 10 7 5 4
E 1 1 1 1 1 2 5 5
E 0 0 0 0 0 10 5 5
E 8 8 8 8 8 7 7 6
E 5 5 4 5 6 7 6 6
E 7 6 4 7 9 10 9 7
E 1 2 1 2 1 1 5 7
E 2 1 3 4 5 10 1 3
E 0 0 0 0 1 6 7 5
E 1 3 0 6 6 6 5 5
E 2 2 3 5 5 6 3 5
E 3 3 3 7 7 7 7 6
E 1 3 2 7 3 8 7 6
E 0 0 0 5 5 7 7 7
E 6 6 4 7 7 6 7 6
E 2 2 0 5 5 6 3 5
E 0 0 3 8 8 3 6 5
E 0 0 0 5 5 5 9 8
E 0 0 0 0 0 6 6 6
E 7 4 6 7 7 7 6 6
E 0 0 0 5 5 8 0 0
E 1 4 1 4 4 3 0 0
E 0 0 0 0 0 0 0 0
E 1 3 1 1 0 1 1 1
E 0 6 0 0 0 4 10 10
E 0 3 0 0 7 8 4 4
E 0 0 0 1 1 7 8 7
E 5 5 5 9 9 7 5 5
E 0 2 0 3 3 7 7 5
E 0 2 0 0 7 5 7 8
E 2 2 2 5 5 10 5 5
E 0 0 0 5 10 7 10 10
E 1 1 1 5 5 8 1 2
E 1 1 1 1 4 9 5 5
E 2 2 2 2 4 9 8 8
E 1 1 1 2 5 9 5 6
E 0 0 0 2 3 9 9 9
E 4 2 4 6 5 5 6 8
E 2 2 2 5 5 7 6 7
E 0 0 0 8 8 7 7 5
E 4 2 4 6 6 6 6 6
E 1 1 1 4 4 5 5 5
E 4 2 0 5 5 7 7 5
E 4 2 4 7 6 5 6 5
E 1 1 1 4 4 5 6 5
E 3 3 5 4 4 10 5 5
E 0 0 0 0 0 10 10 10
E 0 0 0 0 0 10 0 5
E 0 0 2 10 10 10 5 5
E 5 4 3 4 6 8 9 9
E 2 2 2 4 6 10 8 5
E 1 1 0 9 8 8 5 5
E 5 5 0 10 5 10 9 10
E 1 1 1 3 3 6 5 5
E 4 3 4 7 3 5 6 6
E 0 6 1 7 4 8 6 6
E 5 5 5 5 4 7 6 5
E 3 3 3 4 4 6 6 6
E 9 9 8 9 9 9 8 4
E 9 9 7 10 10 9 7 7
E 5 6 3 10 10 10 2 2
E 0 2 0 5 4 3 5 5
E 2 4 1 5 7 5 5 5
E 8 8 5 9 1 7 5 8
E 0 1 1 1 0 1 10 9
E 3 5 0 7 7 8 7 7
E 0 0 0 1 0 2 4 10
E 6 6 5 5 5 10 2 3
E 5 5 3 8 10 10 6 6
E 2 3 1 8 6 10 5 5
E 0 0 0 2 2 10 0 5
E 4 5 3 6 6 6 0 0
E 3 5 4 7 5 9 1 5
E 4 5 3 2 1 7 6 7
E 0 0 0 5 5 8 9 9
E 0 0 0 3 3 8 7 6
E 0 0 0 0 0 5 3 4
E 0 0 0 2 3 8 7 5
E 1 1 1 2 2 7 6 5
E 0 0 0 0 6 8 3 5
E 0 0 0 0 0 4 5 5
E 1 1 1 2 3 7 7 6
E 0 0 0 0 0 4 5 5
E 0 0 0 0 0 6 5 6
E 0 0 0 0 0 4 5 5
E 0 4 0 0 0 7 4 4
E 1 1 1 1 1 8 5 5
E 1 1 1 3 3 6 6 6
E 4 5 2 7 7 7 6 5
E 2 3 1 6 7 8 8 8
E 3 3 2 3 3 7 8 7
E 1 1 2 6 5 9 5 5
E 0 0 0 1 1 9 5 5
E 1 1 1 4 3 9 7 5
E 1 1 1 1 1 4 4 5
E 1 1 1 1 1 4 5 4
E 1 1 1 3 3 7 5 5
E 0 0 0 0 0 3 3 3
E 2 6 2 2 2 5 5 5
E 1 1 1 1 1 5 4 4
E 1 1 1 1 1 5 3 3
E 1 1 1 1 1 4 4 4
E 1 1 1 2 2 5 5 6
E 5 4 2 6 5 4 5 5
E 1 1 1 4 4 6 4 7
E 1 1 1 3 4 7 2 2
E 5 5 5 7 7 7 4 4
E 3 3 1 8 7 6 7 5
E 3 6 5 10 9 6 5 5
E 3 0 2 4 5 7 5 5
E 3 4 3 3 5 6 6 6
E 3 3 2 5 7 5 3 3
E 5 5 4 6 6 8 5 5
E 5 5 6 5 6 8 4 5
E 5 4 6 7 4 8 7 6
E 2 4 2 4 4 8 6 6
E 1 1 1 6 9 7 7 7
E 0 6 1 7 7 4 10 10
E 0 0 2 4 4 9 8 8
E 8 6 8 7 8 6 8 8
E 3 2 2 6 6 6 5 7
E 5 2 5 10 8 7 6 6
E 1 1 1 3 3 5 3 7
E 4 4 3 5 5 7 5 5
E 0 1 0 0 3 8 8 8
E 3 5 4 3 2 7 6 6
E 7 4 1 9 10 7 5 5
E 2 3 2 6 6 8 7 7
E 0 0 0 0 2 5 4 5
E 0 0 0 0 0 9 5 5
E 0 0 0 4 5 10 10 10
E 0 0 0 0 0 4 10 10
E 0 1 2 7 6 6 3 5
E 1 2 3 4 3 4 2 4
E 0 0 0 0 0 6 4 4
E 1 2 2 3 3 5 4 7
E 2 4 2 4 3 6 4 5
E 1 1 2 3 3 7 3 3
E 1 5 4 4 2 5 4 5
E 1 5 1 4 4 6 5 4
E 8 8 8 8 8 6 5 5
E 3 3 3 4 4 9 7 8
E 3 3 3 4 4 9 5 6
E 2 2 2 3 4 9 5 5
E 2 2 2 4 4 10 6 6
E 2 2 2 2 2 9 7 7
E 2 3 2 3 3 8 5 5
E 1 1 1 3 3 9 6 8
E 3 3 1 5 4 7 2 4
E 0 1 0 3 3 6 4 4
E 5 3 2 1 5 9 1 1
E 0 0 0 0 0 8 9 9
E 0 1 0 5 5 3 5 5
E 0 0 0 0 4 8 5 5
E 3 5 3 5 6 10 9 9
E 1 3 3 3 10 10 5 5
E 0 1 0 4 4 8 8 9
E 1 3 1 5 5 9 5 7
E 0 2 0 3 3 7 8 8
E 0 0 0 5 5 10 5 5
E 0 0 0 7 7 8 2 2
E 5 5 5 5 5 5 10 10
E 5 5 5 5 5 5 7 7
E 5 5 5 5 5 6 7 7
E 2 3 2 4 4 7 5 8
E 0 1 0 4 4 5 8 9
E 0 2 0 3 3 10 3 3
E 0 1 0 4 4 7 3 4
E 0 1 0 4 3 5 5 5
E 0 3 0 4 4 5 4 9
E 2 3 2 4 3 4 5 5
E 2 2 2 6 6 10 5 5
E 0 0 0 1 2 5 5 9
E 1 1 1 3 4 5 7 7
E 0 0 0 10 10 1 10 10
E 2 2 2 3 2 5 5 6
E 2 2 2 5 5 7 8 7
E 0 0 0 4 0 10 10 1
E 0 0 0 0 0 5 5 5
E 4 3 4 6 8 9 7 7
E 0 0 0 4 4 10 0 0
E 1 1 1 5 1 10 1 1
E 6 3 4 0 5 10 7 6
E 0 0 0 3 4 10 6 8
E 1 2 1 10 10 9 9 9
E 3 1 0 5 8 9 9 9
E 2 1 2 3 4 5 6 6
E 1 2 0 4 6 2 4 5
E 3 2 2 4 4 2 7 6
E 3 2 2 4 3 4 7 5
E 0 0 0 1 1 10 7 5
E 1 2 1 6 6 9 2 1
E 1 1 0 4 4 6 7 6
E 0 0 0 4 7 10 9 5
E 3 3 3 3 3 10 2 4
E 6 3 4 0 10 10 7 6
E 4 2 2 4 5 8 5 5
E 3 3 3 3 3 6 6 5
E 2 2 2 5 6 5 5 5
E 1 1 1 6 6 7 5 5
E 10 10 5 10 10 10 7 5
E 1 1 1 3 3 10 7 4
E 2 2 1 3 5 9 7 5
E 10 7 5 6 9 10 5 5
E 5 5 4 3 3 9 5 6
E 0 0 0 0 0 9 4 5
E 2 3 1 4 5 10 5 5
E 0 3 0 5 4 8 5 5
E 0 0 0 8 9 10 3 3
E 0 0 0 6 6 10 7 7
E 0 0 0 5 5 10 5 5
E 5 3 5 7 8 9 5 5
E 0 0 0 5 5 9 4 6
E 2 2 2 5 5 10 10 10
E 1 3 1 3 3 7 6 6
E 0 1 0 1 0 10 5 5
E 5 7 5 9 9 10 9 5
E 0 0 4 9 9 7 6 7
E 1 1 1 5 5 7 5 5
E 1 1 1 5 5 5 5 5
E 3 3 1 4 4 5 7 5
E 5 3 2 9 9 5 5 5
E 0 0 0 0 0 6 0 0
E 0 2 1 6 5 5 3 4
E 5 1 5 0 8 4 3 6
E 1 3 4 7 9 6 5 5
E 0 0 0 10 10 5 5 5
E 0 0 0 10 10 5 2 5
E 1 1 1 1 1 3 5 5
E 2 1 2 7 7 10 5 5
E 0 0 0 9 5 10 5 5
E 1 3 1 4 3 2 8 7
E 8 8 8 8 8 3 6 5
E 1 1 2 5 5 5 5 5
E 3 1 2 4 7 5 3 4
E 0 0 1 5 5 5 5 5
E 3 4 1 3 8 7 8 7
E 6 4 5 5 5 7 8 6
E 0 0 0 6 6 10 10 10
E 4 3 4 5 7 1 4 5
E 5 1 2 6 6 9 6 6
E 2 2 2 0 3 9 7 7
E 1 0 0 3 3 3 2 1
E 0 0 0 5 5 5 9 9
E 0 0 0 10 3 9 1 5
E 0 1 0 0 0 10 10 6
E 1 1 2 5 6 10 10 8
E 6 5 3 7 7 7 4 4
E 2 3 2 5 5 6 4 4
E 5 6 5 7 7 9 6 6
E 2 2 1 4 4 3 4 3
E 3 3 3 7 7 9 6 5
E 2 2 3 7 5 7 4 4
E 1 1 2 2 2 2 1 1
E 4 5 4 7 7 7 4 4
E 3 4 3 9 6 10 4 5
E 2 1 1 8 6 10 5 5
E 0 0 0 7 5 10 1 0
E 0 0 0 6 6 10 8 7
E 0 0 0 5 4 10 4 4
E 5 4 2 7 8 10 5 5
E 0 5 0 8 8 9 10 8
E 0 1 0 6 6 9 3 1
E 2 1 2 5 2 7 6 6
E 1 1 0 3 3 10 10 9
E 1 2 1 9 6 10 5 4
E 1 7 1 9 9 10 10 8
E 0 0 0 5 5 7 10 9
E 0 2 0 5 10 7 9 5
E 1 1 1 3 3 9 9 9
E 1 1 1 2 2 9 4 3
E 0 0 0 5 5 9 4 4
E 1 2 1 5 5 5 5 10
E 2 3 2 5 5 8 1 5
E 1 1 1 5 3 9 8 9
E 2 2 2 2 4 8 4 3
E 3 5 4 4 5 10 9 8
E 0 2 0 0 1 2 2 6
E 2 4 1 1 1 10 4 4
E 0 0 0 10 10 5 5 5
E 4 2 1 2 0 5 6 5
E 0 0 0 9 8 9 9 8
E 2 2 2 2 3 1 1 1
E 0 0 3 5 6 5 9 8
E 0 1 1 4 8 9 5 7
E 0 4 0 2 2 10 6 5
E 5 5 5 4 4 10 10 9
E 0 2 0 0 0 8 8 6
E 6 4 3 8 9 10 8 7
E 1 3 0 4 2 8 6 4
E 0 0 0 3 3 9 8 5
E 0 0 0 0 1 9 8 8
E 0 3 0 1 3 8 8 3
E 7 6 5 5 5 7 10 8
E 5 5 2 4 7 6 3 2
E 4 4 4 9 8 3 3 5
E 1 1 1 5 5 10 10 8
E 0 0 3 5 4 7 6 4
E 0 0 0 1 1 10 9 9
E 0 0 0 0 0 7 7 2
E 5 2 4 10 10 10 5 4
E 0 0 0 1 5 7 9 8
E 4 5 6 5 5 7 7 7
E 0 0 0 2 0 8 6 3
E 3 3 3 1 3 9 8 6
E 0 0 0 3 3 6 2 3
E 1 1 0 1 3 2 6 6
E 3 2 2 8 5 10 5 7
E 2 2 2 1 3 7 4 7
E 0 0 0 6 7 10 1 2
E 4 7 3 9 9 10 2 8
E 1 1 1 2 3 2 9 5
E 0 0 0 4 5 7 8 6
E 0 0 0 3 3 8 10 7
E 0 0 0 5 5 7 8 7
E 3 3 2 4 4 8 8 8
E 0 0 0 5 5 8 10 10
E 6 6 6 6 6 9 7 7
E 0 0 0 5 5 6 9 7
E 2 1 1 9 8 8 6 7
E 4 2 1 6 9 4 5 7
E 4 4 1 8 8 8 5 7
E 7 4 5 8 7 10 1 6
E 4 3 4 5 0 3 9 7
E 2 1 2 4 4 3 3 8
E 3 2 3 4 5 8 4 8
E 1 0 1 1 5 6 2 4
E 1 5 1 2 8 7 2 3
E 1 1 1 6 4 2 7 5
E 4 0 4 2 5 4 4 4
E 0 0 0 0 5 10 5 5
E 1 3 1 3 2 5 7 10
E 3 3 4 7 7 5 4 7
E 5 5 3 4 5 10 5 4
E 0 1 0 9 9 10 8 6
E 4 4 2 6 6 9 10 10
E 0 1 0 3 0 10 5 3
E 5 5 4 5 5 10 5 5
E 0 2 0 3 3 5 2 2
E 0 0 0 0 0 10 10 7
E 5 5 3 10 10 4 4 5
E 0 0 0 0 10 10 2 3
E 0 2 3 3 3 7 1 2
E 3 2 2 3 3 8 9 9
E 0 0 0 0 0 7 3 3
E 0 0 0 0 2 10 10 10
E 1 1 1 4 5 6 5 6
E 5 2 3 3 5 5 3 4
E 2 3 3 4 5 4 4 4
E 3 5 3 4 4 10 5 5
E 2 4 2 4 3 8 7 7
E 3 5 2 4 4 10 5 5
E 4 6 4 4 4 6 5 5
E 5 5 5 7 8 8 7 7
E 6 6 6 5 5 5 2 2
E 3 3 3 3 3 5 4 4
E 5 5 3 7 8 6 5 6
E 1 1 0 5 9 5 5 5
E 5 5 3 7 9 5 9 7
E 2 6 3 8 6 10 10 10
E 5 4 5 7 5 8 9 9
E 8 7 8 9 8 8 7 10
E 8 8 7 8 7 6 5 5
E 0 2 1 3 2 8 5 7
E 0 0 0 0 0 9 2 4
E 0 2 0 4 7 7 8 8
E 0 0 0 8 4 10 7 5
E 4 3 1 4 0 4 4 5
E 0 0 0 7 7 10 10 0
E 4 2 0 6 5 6 0 0
E 0 0 0 5 5 10 1 1
E 0 0 0 4 3 9 8 7
E 8 5 6 5 5 8 4 1
E 0 0 0 0 8 9 6 7
E 0 0 0 10 10 0 0 5
E 4 5 1 8 7 8 6 7
E 0 0 3 7 3 10 5 5
E 0 0 0 5 1 10 5 7
E 9 9 0 10 10 10 0 5
E 0 0 0 1 1 9 5 2
E 9 9 7 9 9 9 6 9
E 7 8 0 8 8 5 7 8
E 3 7 1 7 7 3 6 6
E 0 0 0 1 3 3 4 3
E 0 0 1 5 1 9 9 6
E 0 2 0 4 4 10 10 8
E 0 0 0 5 5 7 7 7
E 1 1 5 5 7 7 5 5
E 5 5 3 5 5 10 1 7
E 4 4 4 5 4 8 5 6
E 0 2 0 5 5 8 5 5
E 0 0 0 5 5 10 8 10
E 0 0 0 10 5 9 2 8
E 2 3 1 3 2 4 4 4
E 1 3 1 2 1 5 4 4
E 0 0 0 5 5 10 0 0
E 0 0 0 0 0 10 10 10
E 0 0 0 8 5 10 6 10
